Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,2030 Logistic,2030 Linear,Logistic evaluation R2,Logistic evaluation PBIAS,Logistic evaluation NRMSE,Linear evaluation R2,Linear evaluation PBIAS,Linear evaluation NRMSE,5-Fold validation mean R2,5-Fold validation mean PBIAS,5-Fold validation mean NRMSE
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),418,Lao People's Democratic Republic,197303.94717148255,551649.8107186928,0.18893341628818827,3.9117966981827803,0.9005923515730143,0.1672783618175534,1.0370211168352712e-12,0.9125358284376819,-65.77140966688991,246.18658760296117,5.210493849776047
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),422,Lebanon,1337.341728615802,413.49205357143,0.24764627205413037,-45.75517412391388,0.8673832647370306,0.12903489178628358,9.900890252633501e-13,0.9332551142178203,-4041.224642452272,67.46009928094527,31.943340014216467
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),430,Liberia,81417.0,,,,,,,,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),450,Madagascar,318359.2875851708,327598.15974938497,0.015298321494090161,0.014811677215488846,0.9923213584851983,0.015686481195695934,5.0074603811472366e-14,0.9921257575551116,-2.946392031230835,55.86335860489646,1.9206085970996347
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),454,Malawi,3301405.6954971203,431551.6841391325,-0.13825035845083744,23.62870539070297,1.0668881658594012,0.042185410808526114,1.20842113712479e-12,0.9786800239053999,-126.62608953269348,240.50318312696612,6.751792101454869
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),458,Malaysia,274640.125557905,327907.49450000003,0.18255937989624416,4.612607274313379,0.9041242282472889,0.19425525030839808,1.7398218926033537e-13,0.8976328590752468,-45.88279277275656,122.04596954553327,4.253884153782681
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),462,Maldives,,-3450.215500794002,0.18255937989624416,,,0.24702898805347717,1.5818603010365214e-12,0.8677390229478693,,,
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),466,Mali,520279.56199926103,336066.70136898383,0.8288139847772428,-31.520432233268416,0.4137463174733489,0.4153745691601768,4.2122233542008035e-12,0.7646080243103803,-16.77737220008189,-60.151605677917374,3.0136657321918032
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),480,Mauritius,793.5035597650087,760.7016934545463,0.0023065086301503612,-0.009917196514815586,0.9988460799191483,0.0022238312474741617,-2.333270450802896e-13,0.9988874655097668,-5.656601601120848,68.29178525518593,2.3942885409163126
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),484,Mexico,418306.90457202645,418191.38566176465,4.5233970391689304e-05,2.557643531427405e-05,0.9999773827590344,4.4829264341905706e-05,1.7757453573299699e-15,0.9999775851166154,-12.00158206918226,104.53584304498862,3.102829793762741
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),496,Mongolia,38826.48055710097,38994.45514705917,0.07755727026448211,3.1876549697427805,0.960438821443364,0.09076843292394032,2.505236140274029e-12,0.9535363480623378,-244.24231867749023,60.0165363134922,9.668383855071875
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),499,Montenegro,8017.872003343186,5627.430684087914,0.05383502455604805,-0.33181425455925045,0.9727101189172198,0.05218629531025454,4.1819954703200025e-13,0.9735572426363769,-11.724202004209552,79.28717029287883,2.5783078731351665
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),504,Morocco,868.9355109171753,-6154.452857143013,0.026884400943205655,4.978361039263674,0.9864662178994242,0.03833401213971843,-1.4163744080884463e-12,0.9806456994553545,-188.68072227184854,940.5358247310594,10.510758536374677
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),508,Mozambique,988573.2579913323,1133235.5974331647,0.21073040950604605,1.5661476355686432,0.8884084592651929,0.19499522141900516,-5.259891456857144e-13,0.8972205852414415,-275.9426894806892,124.49817300073805,8.298616598646968
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),516,Namibia,567924.9853471164,510603.9841269851,0.015895674326716902,-0.18079274156873262,0.9920203252319396,0.013850729662889472,5.976259012959232e-13,0.9930504873052078,-11114.182343248489,3351.707865672866,53.887914033581836
13,13.1,13.1.1,VC_DSR_AFFCT,Number of people affected by disaster (number),524,Nepal,3499181.69816687,3231384.8851195276,0.037425803215472175,7.222488075365906,0.9811086569715549,0.05166731819347681,1.6520013834444807e-12,0.9738237426796101,-512.224653227284,854.066548955856,16.19113665379326
